Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
270;U+1F469 U+200D U+2696 U+FE0F;👩‍⚖️;;;;;;;;—;—;—;—;woman judge
271;U+1F9D1 U+200D U+1F33E;🧑‍🌾;;;—;—;;—;—;—;—;—;—;farmer
272;U+1F468 U+200D U+1F33E;👨‍🌾;;;;;;;;—;—;—;—;man farmer
273;U+1F469 U+200D U+1F33E;👩‍🌾;;;;;;;;—;—;—;—;woman farmer
274;U+1F9D1 U+200D U+1F373;🧑‍🍳;;;—;—;;—;—;—;—;—;—;cook
275;U+1F468 U+200D U+1F373;👨‍🍳;;;;;;;;—;—;—;—;man cook
276;U+1F469 U+200D U+1F373;👩‍🍳;;;;;;;;—;—;—;—;woman cook
277;U+1F9D1 U+200D U+1F527;🧑‍🔧;;;—;—;;—;—;—;—;—;—;mechanic
278;U+1F468 U+200D U+1F527;👨‍🔧;;;;;;;;—;—;—;—;man mechanic
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
279;U+1F469 U+200D U+1F527;👩‍🔧;;;;;;;;—;—;—;—;woman mechanic
280;U+1F9D1 U+200D U+1F3ED;🧑‍🏭;;;—;—;;—;—;—;—;—;—;factory worker
281;U+1F468 U+200D U+1F3ED;👨‍🏭;;;;;;;;—;—;—;—;man factory worker
282;U+1F469 U+200D U+1F3ED;👩‍🏭;;;;;;;;—;—;—;—;woman factory worker
283;U+1F9D1 U+200D U+1F4BC;🧑‍💼;;;—;—;;—;—;—;—;—;—;office worker
284;U+1F468 U+200D U+1F4BC;👨‍💼;;;;;;;;—;—;—;—;man office worker
285;U+1F469 U+200D U+1F4BC;👩‍💼;;;;;;;;—;—;—;—;woman office worker
286;U+1F9D1 U+200D U+1F52C;🧑‍🔬;;;—;—;;—;—;—;—;—;—;scientist
287;U+1F468 U+200D U+1F52C;👨‍🔬;;;;;;;;—;—;—;—;man scientist
288;U+1F469 U+200D U+1F52C;👩‍🔬;;;;;;;;—;—;—;—;woman scientist
289;U+1F9D1 U+200D U+1F4BB;🧑‍💻;;;—;—;;—;—;—;—;—;—;technologist
290;U+1F468 U+200D U+1F4BB;👨‍💻;;;;;;;;—;—;—;—;man technologist
291;U+1F469 U+200D U+1F4BB;👩‍💻;;;;;;;;—;—;—;—;woman technologist
292;U+1F9D1 U+200D U+1F3A4;🧑‍🎤;;;—;—;;—;—;—;—;—;—;singer
293;U+1F468 U+200D U+1F3A4;👨‍🎤;;;;;;;;—;—;—;—;man singer
294;U+1F469 U+200D U+1F3A4;👩‍🎤;;;;;;;;—;—;—;—;woman singer
295;U+1F9D1 U+200D U+1F3A8;🧑‍🎨;;;—;—;;—;—;—;—;—;—;artist
296;U+1F468 U+200D U+1F3A8;👨‍🎨;;;;;;;;—;—;—;—;man artist
297;U+1F469 U+200D U+1F3A8;👩‍🎨;;;;;;;;—;—;—;—;woman artist
298;U+1F9D1 U+200D U+2708 U+FE0F;🧑‍✈️;;;—;—;;—;—;—;—;—;—;pilot
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
299;U+1F468 U+200D U+2708 U+FE0F;👨‍✈️;;;;;;;;—;—;—;—;man pilot
300;U+1F469 U+200D U+2708 U+FE0F;👩‍✈️;;;;;;;;—;—;—;—;woman pilot
301;U+1F9D1 U+200D U+1F680;🧑‍🚀;;;—;—;;—;—;—;—;—;—;astronaut
302;U+1F468 U+200D U+1F680;👨‍🚀;;;;;;;;—;—;—;—;man astronaut
303;U+1F469 U+200D U+1F680;👩‍🚀;;;;;;;;—;—;—;—;woman astronaut
304;U+1F9D1 U+200D U+1F692;🧑‍🚒;;;—;—;;—;—;—;—;—;—;firefighter
305;U+1F468 U+200D U+1F692;👨‍🚒;;;;;;;;—;—;—;—;man firefighter
306;U+1F469 U+200D U+1F692;👩‍🚒;;;;;;;;—;—;—;—;woman firefighter
307;U+1F46E;👮;;;;;;;;;;—;;police officer
308;U+1F46E U+200D U+2642 U+FE0F;👮‍♂️;;;;;;;;—;—;—;—;man police officer
309;U+1F46E U+200D U+2640 U+FE0F;👮‍♀️;;;;;;;;—;—;—;—;woman police officer
310;U+1F575;🕵;;;;;;;;—;—;—;—;detective
311;U+1F575 U+FE0F U+200D U+2642 U+FE0F;🕵️‍♂️;;;;;;;;—;—;—;—;man detective
312;U+1F575 U+FE0F U+200D U+2640 U+FE0F;🕵️‍♀️;;;;;;;;—;—;—;—;woman detective
313;U+1F482;💂;;;;;;;;;;—;—;guard
314;U+1F482 U+200D U+2642 U+FE0F;💂‍♂️;;;;;;;;—;—;—;—;man guard
315;U+1F482 U+200D U+2640 U+FE0F;💂‍♀️;;;;;;;;—;—;—;—;woman guard
316;U+1F977;🥷;—;;—;—;—;;—;—;—;—;—;⊛ ninja
317;U+1F477;👷;;;;;;;;;;—;;construction worker
318;U+1F477 U+200D U+2642 U+FE0F;👷‍♂️;;;;;;;;—;—;—;—;man construction worker
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
319;U+1F477 U+200D U+2640 U+FE0F;👷‍♀️;;;;;;;;—;—;—;—;woman construction worker
320;U+1F934;🤴;;;;;;;;—;—;—;—;prince
321;U+1F478;👸;;;;;;;;;;—;;princess
322;U+1F473;👳;;;;;;;;;;—;;person wearing turban
323;U+1F473 U+200D U+2642 U+FE0F;👳‍♂️;;;;;;;;—;—;—;—;man wearing turban
324;U+1F473 U+200D U+2640 U+FE0F;👳‍♀️;;;;;;;;—;—;—;—;woman wearing turban
325;U+1F472;👲;;;;;;;;;;—;;person with skullcap
326;U+1F9D5;🧕;;;;;;;;—;—;—;—;woman with headscarf
327;U+1F935;🤵;;;;;;;;—;—;—;—;person in tuxedo
328;U+1F935 U+200D U+2642 U+FE0F;🤵‍♂️;—;;—;—;;—;—;—;—;—;—;⊛ man in tuxedo
329;U+1F935 U+200D U+2640 U+FE0F;🤵‍♀️;—;;—;—;;—;—;—;—;—;—;⊛ woman in tuxedo
330;U+1F470;👰;;;;;;;;;—;—;;person with veil
331;U+1F470 U+200D U+2642 U+FE0F;👰‍♂️;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ man with veil
332;U+1F470 U+200D U+2640 U+FE0F;👰‍♀️;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ woman with veil
333;U+1F930;🤰;;;;;;;;—;—;—;—;pregnant woman
334;U+1F931;🤱;;;;;;;;—;—;—;—;breast-feeding
335;U+1F469 U+200D U+1F37C;👩‍🍼;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ woman feeding baby
336;U+1F468 U+200D U+1F37C;👨‍🍼;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ man feeding baby
337;U+1F9D1 U+200D U+1F37C;🧑‍🍼;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ person feeding baby
person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy;person-fantasy
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
338;U+1F47C;👼;;;;;;;;;;—;;baby angel
339;U+1F385;🎅;;;;;;;;;;—;;Santa Claus
340;U+1F936;🤶;;;;;;;;—;—;—;—;Mrs. Claus
341;U+1F9D1 U+200D U+1F384;🧑‍🎄;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ mx claus
342;U+1F9B8;🦸;;;;;;;;—;—;—;—;superhero
343;U+1F9B8 U+200D U+2642 U+FE0F;🦸‍♂️;;;;;;;;—;—;—;—;man superhero
344;U+1F9B8 U+200D U+2640 U+FE0F;🦸‍♀️;;;;;;;;—;—;—;—;woman superhero
345;U+1F9B9;🦹;;;;;;;;—;—;—;—;supervillain
346;U+1F9B9 U+200D U+2642 U+FE0F;🦹‍♂️;;;;;;;;—;—;—;—;man supervillain
347;U+1F9B9 U+200D U+2640 U+FE0F;🦹‍♀️;;;;;;;;—;—;—;—;woman supervillain
348;U+1F9D9;🧙;;;;;;;;—;—;—;—;mage
349;U+1F9D9 U+200D U+2642 U+FE0F;🧙‍♂️;;;;;;;;—;—;—;—;man mage
350;U+1F9D9 U+200D U+2640 U+FE0F;🧙‍♀️;;;;;;;;—;—;—;—;woman mage
351;U+1F9DA;🧚;;;;;;;;—;—;—;—;fairy
352;U+1F9DA U+200D U+2642 U+FE0F;🧚‍♂️;;;;;;;;—;—;—;—;man fairy
353;U+1F9DA U+200D U+2640 U+FE0F;🧚‍♀️;;;;;;;;—;—;—;—;woman fairy
354;U+1F9DB;🧛;;;;;;;;—;—;—;—;vampire
355;U+1F9DB U+200D U+2642 U+FE0F;🧛‍♂️;;;;;;;;—;—;—;—;man vampire
356;U+1F9DB U+200D U+2640 U+FE0F;🧛‍♀️;;;;;;;;—;—;—;—;woman vampire
357;U+1F9DC;🧜;;;;;;;;—;—;—;—;merperson
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
358;U+1F9DC U+200D U+2642 U+FE0F;🧜‍♂️;;;;;;;;—;—;—;—;merman
359;U+1F9DC U+200D U+2640 U+FE0F;🧜‍♀️;;;;;;;;—;—;—;—;mermaid
360;U+1F9DD;🧝;;;;;;;;—;—;—;—;elf
361;U+1F9DD U+200D U+2642 U+FE0F;🧝‍♂️;;;;;;;;—;—;—;—;man elf
362;U+1F9DD U+200D U+2640 U+FE0F;🧝‍♀️;;;;;;;;—;—;—;—;woman elf
363;U+1F9DE;🧞;;;;;;;;—;—;—;—;genie
364;U+1F9DE U+200D U+2642 U+FE0F;🧞‍♂️;;;;;;;;—;—;—;—;man genie
365;U+1F9DE U+200D U+2640 U+FE0F;🧞‍♀️;;;;;;;;—;—;—;—;woman genie
366;U+1F9DF;🧟;;;;;;;;—;—;—;—;zombie
367;U+1F9DF U+200D U+2642 U+FE0F;🧟‍♂️;;;;;;;;—;—;—;—;man zombie
368;U+1F9DF U+200D U+2640 U+FE0F;🧟‍♀️;;;;;;;;—;—;—;—;woman zombie
person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity;person-activity
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
369;U+1F486;💆;;;;;;;;;;—;;person getting massage
370;U+1F486 U+200D U+2642 U+FE0F;💆‍♂️;;;;;;;;—;—;—;—;man getting massage
371;U+1F486 U+200D U+2640 U+FE0F;💆‍♀️;;;;;;;;—;—;—;—;woman getting massage
372;U+1F487;💇;;;;;;;;;;—;;person getting haircut
373;U+1F487 U+200D U+2642 U+FE0F;💇‍♂️;;;;;;;;—;—;—;—;man getting haircut
374;U+1F487 U+200D U+2640 U+FE0F;💇‍♀️;;;;;;;;—;—;—;—;woman getting haircut
375;U+1F6B6;🚶;;;;;;;;;;—;;person walking
376;U+1F6B6 U+200D U+2642 U+FE0F;🚶‍♂️;;;;;;;;—;—;—;—;man walking
377;U+1F6B6 U+200D U+2640 U+FE0F;🚶‍♀️;;;;;;;;—;—;—;—;woman walking
378;U+1F9CD;🧍;;;;;;;;—;—;—;—;person standing
379;U+1F9CD U+200D U+2642 U+FE0F;🧍‍♂️;;;;—;;;;—;—;—;—;man standing
380;U+1F9CD U+200D U+2640 U+FE0F;🧍‍♀️;;;;—;;;;—;—;—;—;woman standing
381;U+1F9CE;🧎;;;;;;;;—;—;—;—;person kneeling
382;U+1F9CE U+200D U+2642 U+FE0F;🧎‍♂️;;;;—;;;;—;—;—;—;man kneeling
383;U+1F9CE U+200D U+2640 U+FE0F;🧎‍♀️;;;;—;;;;—;—;—;—;woman kneeling
384;U+1F9D1 U+200D U+1F9AF;🧑‍🦯;;;—;—;;—;—;—;—;—;—;person with white cane
385;U+1F468 U+200D U+1F9AF;👨‍🦯;;;;—;;;;—;—;—;—;man with white cane
386;U+1F469 U+200D U+1F9AF;👩‍🦯;;;;—;;;;—;—;—;—;woman with white cane
387;U+1F9D1 U+200D U+1F9BC;🧑‍🦼;;;—;—;;—;—;—;—;—;—;person in motorized wheelchair
388;U+1F468 U+200D U+1F9BC;👨‍🦼;;;;;;;;—;—;—;—;man in motorized wheelchair
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
389;U+1F469 U+200D U+1F9BC;👩‍🦼;;;;;;;;—;—;—;—;woman in motorized wheelchair
390;U+1F9D1 U+200D U+1F9BD;🧑‍🦽;;;—;—;;—;—;—;—;—;—;person in manual wheelchair
391;U+1F468 U+200D U+1F9BD;👨‍🦽;;;;;;;;—;—;—;—;man in manual wheelchair
392;U+1F469 U+200D U+1F9BD;👩‍🦽;;;;;;;;—;—;—;—;woman in manual wheelchair
393;U+1F3C3;🏃;;;;;;;;;;;;person running
394;U+1F3C3 U+200D U+2642 U+FE0F;🏃‍♂️;;;;;;;;—;—;—;—;man running
395;U+1F3C3 U+200D U+2640 U+FE0F;🏃‍♀️;;;;;;;;—;—;—;—;woman running
396;U+1F483;💃;;;;;;;;;;—;;woman dancing
397;U+1F57A;🕺;;;;;;;;—;—;—;—;man dancing
398;U+1F574;🕴;;;;;;;;—;—;—;—;person in suit levitating
399;U+1F46F;👯;;;;;;;;;;—;;people with bunny ears
400;U+1F46F U+200D U+2642 U+FE0F;👯‍♂️;;;;;;;;—;—;—;—;men with bunny ears
401;U+1F46F U+200D U+2640 U+FE0F;👯‍♀️;;;;;;;;—;—;—;—;women with bunny ears
402;U+1F9D6;🧖;;;;;;;;—;—;—;—;person in steamy room
403;U+1F9D6 U+200D U+2642 U+FE0F;🧖‍♂️;;;;;;;;—;—;—;—;man in steamy room
404;U+1F9D6 U+200D U+2640 U+FE0F;🧖‍♀️;;;;;;;;—;—;—;—;woman in steamy room
405;U+1F9D7;🧗;;;;;;;;—;—;—;—;person climbing
406;U+1F9D7 U+200D U+2642 U+FE0F;🧗‍♂️;;;;;;;;—;—;—;—;man climbing
407;U+1F9D7 U+200D U+2640 U+FE0F;🧗‍♀️;;;;;;;;—;—;—;—;woman climbing
person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport;person-sport
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
408;U+1F93A;🤺;;;;;;;;—;—;—;—;person fencing
409;U+1F3C7;🏇;;;;;;;;—;—;—;—;horse racing
410;U+26F7;⛷;;;;;;;;—;—;—;—;skier
411;U+1F3C2;🏂;;;;;;;;;—;;;snowboarder
412;U+1F3CC;🏌;;;;;;;;—;—;—;—;person golfing
413;U+1F3CC U+FE0F U+200D U+2642 U+FE0F;🏌️‍♂️;;;;;;;;—;—;—;—;man golfing
414;U+1F3CC U+FE0F U+200D U+2640 U+FE0F;🏌️‍♀️;;;;;;;;—;—;—;—;woman golfing
415;U+1F3C4;🏄;;;;;;;;;;—;;person surfing
416;U+1F3C4 U+200D U+2642 U+FE0F;🏄‍♂️;;;;;;;;—;—;—;—;man surfing
417;U+1F3C4 U+200D U+2640 U+FE0F;🏄‍♀️;;;;;;;;—;—;—;—;woman surfing
418;U+1F6A3;🚣;;;;;;;;—;—;—;—;person rowing boat
419;U+1F6A3 U+200D U+2642 U+FE0F;🚣‍♂️;;;;;;;;—;—;—;—;man rowing boat
420;U+1F6A3 U+200D U+2640 U+FE0F;🚣‍♀️;;;;;;;;—;—;—;—;woman rowing boat
421;U+1F3CA;🏊;;;;;;;;;;—;;person swimming
422;U+1F3CA U+200D U+2642 U+FE0F;🏊‍♂️;;;;;;;;—;—;—;—;man swimming
423;U+1F3CA U+200D U+2640 U+FE0F;🏊‍♀️;;;;;;;;—;—;—;—;woman swimming
424;U+26F9;⛹;;;;;;;;—;—;—;—;person bouncing ball
425;U+26F9 U+FE0F U+200D U+2642 U+FE0F;⛹️‍♂️;;;;;;;;—;—;—;—;man bouncing ball
426;U+26F9 U+FE0F U+200D U+2640 U+FE0F;⛹️‍♀️;;;;;;;;—;—;—;—;woman bouncing ball
427;U+1F3CB;🏋;;;;;;;;—;—;—;—;person lifting weights
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
428;U+1F3CB U+FE0F U+200D U+2642 U+FE0F;🏋️‍♂️;;;;;;;;—;—;—;—;man lifting weights
429;U+1F3CB U+FE0F U+200D U+2640 U+FE0F;🏋️‍♀️;;;;;;;;—;—;—;—;woman lifting weights
430;U+1F6B4;🚴;;;;;;;;—;—;—;—;person biking
431;U+1F6B4 U+200D U+2642 U+FE0F;🚴‍♂️;;;;;;;;—;—;—;—;man biking
432;U+1F6B4 U+200D U+2640 U+FE0F;🚴‍♀️;;;;;;;;—;—;—;—;woman biking
433;U+1F6B5;🚵;;;;;;;;—;—;—;—;person mountain biking
434;U+1F6B5 U+200D U+2642 U+FE0F;🚵‍♂️;;;;;;;;—;—;—;—;man mountain biking
435;U+1F6B5 U+200D U+2640 U+FE0F;🚵‍♀️;;;;;;;;—;—;—;—;woman mountain biking
436;U+1F938;🤸;;;;;;;;—;—;—;—;person cartwheeling
437;U+1F938 U+200D U+2642 U+FE0F;🤸‍♂️;;;;;;;;—;—;—;—;man cartwheeling
438;U+1F938 U+200D U+2640 U+FE0F;🤸‍♀️;;;;;;;;—;—;—;—;woman cartwheeling
439;U+1F93C;🤼;;;;;;;;—;—;—;—;people wrestling
440;U+1F93C U+200D U+2642 U+FE0F;🤼‍♂️;;;;;;;;—;—;—;—;men wrestling
441;U+1F93C U+200D U+2640 U+FE0F;🤼‍♀️;;;;;;;;—;—;—;—;women wrestling
442;U+1F93D;🤽;;;;;;;;—;—;—;—;person playing water polo
443;U+1F93D U+200D U+2642 U+FE0F;🤽‍♂️;;;;;;;;—;—;—;—;man playing water polo
444;U+1F93D U+200D U+2640 U+FE0F;🤽‍♀️;;;;;;;;—;—;—;—;woman playing water polo
445;U+1F93E;🤾;;;;;;;;—;—;—;—;person playing handball
446;U+1F93E U+200D U+2642 U+FE0F;🤾‍♂️;;;;;;;;—;—;—;—;man playing handball
447;U+1F93E U+200D U+2640 U+FE0F;🤾‍♀️;;;;;;;;—;—;—;—;woman playing handball
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
448;U+1F939;🤹;;;;;;;;—;—;—;—;person juggling
449;U+1F939 U+200D U+2642 U+FE0F;🤹‍♂️;;;;;;;;—;—;—;—;man juggling
450;U+1F939 U+200D U+2640 U+FE0F;🤹‍♀️;;;;;;;;—;—;—;—;woman juggling
person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting;person-resting
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
451;U+1F9D8;🧘;;;;;;;;—;—;—;—;person in lotus position
452;U+1F9D8 U+200D U+2642 U+FE0F;🧘‍♂️;;;;;;;;—;—;—;—;man in lotus position
453;U+1F9D8 U+200D U+2640 U+FE0F;🧘‍♀️;;;;;;;;—;—;—;—;woman in lotus position
454;U+1F6C0;🛀;;;;;;;;;;—;;person taking bath
455;U+1F6CC;🛌;;;;;;;;—;—;—;—;person in bed
family;family;family;family;family;family;family;family;family;family;family;family;family;family;family
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
456;U+1F9D1 U+200D U+1F91D U+200D U+1F9D1;🧑‍🤝‍🧑;;;;;;;;—;—;—;—;people holding hands
457;U+1F46D;👭;;;;;;;;—;—;—;—;women holding hands
458;U+1F46B;👫;;;;;;;;;;—;—;woman and man holding hands
459;U+1F46C;👬;;;;;;;;—;—;—;—;men holding hands
460;U+1F48F;💏;;;;;;;;;;—;;kiss
461;U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468;👩‍❤️‍💋‍👨;;;;;;;;—;—;—;—;kiss: woman, man
462;U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468;👨‍❤️‍💋‍👨;;;;;;;;—;—;—;—;kiss: man, man
463;U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469;👩‍❤️‍💋‍👩;;;;;;;;—;—;—;—;kiss: woman, woman
464;U+1F491;💑;;;;;;;;;;—;;couple with heart
465;U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468;👩‍❤️‍👨;;;;;;;;—;—;—;—;couple with heart: woman, man
466;U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468;👨‍❤️‍👨;;;;;;;;—;—;—;—;couple with heart: man, man
467;U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469;👩‍❤️‍👩;;;;;;;;—;—;—;—;couple with heart: woman, woman
468;U+1F46A;👪;;;;;;;;;—;—;;family
469;U+1F468 U+200D U+1F469 U+200D U+1F466;👨‍👩‍👦;;;;;;;;—;—;—;—;family: man, woman, boy
470;U+1F468 U+200D U+1F469 U+200D U+1F467;👨‍👩‍👧;;;;;;;;—;—;—;—;family: man, woman, girl
471;U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466;👨‍👩‍👧‍👦;;;;;;;;—;—;—;—;family: man, woman, girl, boy
472;U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466;👨‍👩‍👦‍👦;;;;;;;;—;—;—;—;family: man, woman, boy, boy
473;U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467;👨‍👩‍👧‍👧;;;;;;;;—;—;—;—;family: man, woman, girl, girl
474;U+1F468 U+200D U+1F468 U+200D U+1F466;👨‍👨‍👦;;;;;;;;—;—;—;—;family: man, man, boy
475;U+1F468 U+200D U+1F468 U+200D U+1F467;👨‍👨‍👧;;;;;;;;—;—;—;—;family: man, man, girl
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
476;U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466;👨‍👨‍👧‍👦;;;;;;;;—;—;—;—;family: man, man, girl, boy
477;U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466;👨‍👨‍👦‍👦;;;;;;;;—;—;—;—;family: man, man, boy, boy
478;U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467;👨‍👨‍👧‍👧;;;;;;;;—;—;—;—;family: man, man, girl, girl
479;U+1F469 U+200D U+1F469 U+200D U+1F466;👩‍👩‍👦;;;;;;;;—;—;—;—;family: woman, woman, boy
480;U+1F469 U+200D U+1F469 U+200D U+1F467;👩‍👩‍👧;;;;;;;;—;—;—;—;family: woman, woman, girl
481;U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466;👩‍👩‍👧‍👦;;;;;;;;—;—;—;—;family: woman, woman, girl, boy
482;U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466;👩‍👩‍👦‍👦;;;;;;;;—;—;—;—;family: woman, woman, boy, boy
483;U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467;👩‍👩‍👧‍👧;;;;;;;;—;—;—;—;family: woman, woman, girl, girl
484;U+1F468 U+200D U+1F466;👨‍👦;;;;;;;;—;—;—;—;family: man, boy
485;U+1F468 U+200D U+1F466 U+200D U+1F466;👨‍👦‍👦;;;;;;;;—;—;—;—;family: man, boy, boy
486;U+1F468 U+200D U+1F467;👨‍👧;;;;;;;;—;—;—;—;family: man, girl
487;U+1F468 U+200D U+1F467 U+200D U+1F466;👨‍👧‍👦;;;;;;;;—;—;—;—;family: man, girl, boy
488;U+1F468 U+200D U+1F467 U+200D U+1F467;👨‍👧‍👧;;;;;;;;—;—;—;—;family: man, girl, girl
489;U+1F469 U+200D U+1F466;👩‍👦;;;;;;;;—;—;—;—;family: woman, boy
490;U+1F469 U+200D U+1F466 U+200D U+1F466;👩‍👦‍👦;;;;;;;;—;—;—;—;family: woman, boy, boy
491;U+1F469 U+200D U+1F467;👩‍👧;;;;;;;;—;—;—;—;family: woman, girl
492;U+1F469 U+200D U+1F467 U+200D U+1F466;👩‍👧‍👦;;;;;;;;—;—;—;—;family: woman, girl, boy
493;U+1F469 U+200D U+1F467 U+200D U+1F467;👩‍👧‍👧;;;;;;;;—;—;—;—;family: woman, girl, girl
person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol;person-symbol
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
494;U+1F5E3;🗣;;;;;;;;—;—;—;—;speaking head
495;U+1F464;👤;;;;;;;;;—;;—;bust in silhouette
496;U+1F465;👥;;;;;;;;—;—;—;—;busts in silhouette
497;U+1FAC2;🫂;—;;—;—;—;;—;—;—;—;—;⊛ people hugging
498;U+1F463;👣;;;;;;;;;;;;footprints
Component;Component;Component;Component;Component;Component;Component;Component;Component;Component;Component;Component;Component;Component;Component
hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style;hair-style
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
499;U+1F9B0;🦰;;;;;;;;—;—;—;—;red hair
500;U+1F9B1;🦱;;;;;;;;—;—;—;—;curly hair
501;U+1F9B3;🦳;;;;;;;;—;—;—;—;white hair
502;U+1F9B2;🦲;;;;;;;;—;—;—;—;bald
Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature;Animals & Nature
animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal;animal-mammal
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
503;U+1F435;🐵;;;;;;;;;;—;;monkey face
504;U+1F412;🐒;;;;;;;;;;—;—;monkey
505;U+1F98D;🦍;;;;;;;;—;—;—;—;gorilla
506;U+1F9A7;🦧;;;;;;;;—;—;—;—;orangutan
507;U+1F436;🐶;;;;;;;;;;;;dog face
508;U+1F415;🐕;;;;;;;;—;—;—;—;dog
509;U+1F9AE;🦮;;;;;;;;—;—;—;—;guide dog
510;U+1F415 U+200D U+1F9BA;🐕‍🦺;;;;;;;;—;—;—;—;service dog
511;U+1F429;🐩;;;;;;;;;—;—;;poodle
512;U+1F43A;🐺;;;;;;;;;;—;—;wolf
513;U+1F98A;🦊;;;;;;;;—;—;—;—;fox
514;U+1F99D;🦝;;;;;;;;—;—;—;—;raccoon
515;U+1F431;🐱;;;;;;;;;;;;cat face
516;U+1F408;🐈;;;;;;;;—;—;—;—;cat
